date,price
2013/9/25,7080
2013/9/26,7050
2013/9/27,7080
2013/9/30,7030
2013/10/8,7100
2013/10/9,7180
2013/10/10,7150
2013/10/11,7100
2013/10/14,7150
2013/10/15,7150
2013/10/16,7080
2013/10/17,7200
2013/10/18,7150
2013/10/21,7180
2013/10/22,7250
2013/10/23,7250
2013/10/24,7250
2013/10/25,7180
2013/10/28,7130
2013/10/29,7150
2013/10/30,7150
2013/10/31,7200
2013/11/1,7250
2013/11/4,7280
2013/11/5,7230
2013/11/6,7230
2013/11/7,7230
2013/11/8,7230
2013/11/11,7180
2013/11/12,7180
2013/11/13,7280
2013/11/14,7280
2013/11/15,7300
2013/11/18,7280
2013/11/19,7230
2013/11/20,7230
2013/11/21,7300
2013/11/22,7400
2013/11/25,7400
2013/11/26,7400
2013/11/27,7350
2013/11/28,7300
2013/11/29,7350
2013/12/2,7380
2013/12/3,7380
2013/12/4,7350
2013/12/5,7300
2013/12/6,7280
2013/12/9,7300
2013/12/10,7300
2013/12/11,7300
2013/12/12,7300
2013/12/13,7200
2013/12/16,7200
2013/12/17,7200
2013/12/18,7150
2013/12/19,7150
2013/12/20,7100
2013/12/23,7100
2013/12/24,7100
2013/12/25,7080
2013/12/26,7050
2013/12/27,7000
2013/12/30,7020
2013/12/31,7020
2014/1/2,7050
2014/1/3,6980
2014/1/4,6900
2014/1/6,6900
2014/1/7,6850
2014/1/8,6780
2014/1/9,6800
2014/1/10,6800
2014/1/13,6760
2014/1/14,6780
2014/1/15,6800
2014/1/16,6750
2014/1/17,6750
2014/1/20,6780
2014/1/21,6780
2014/1/22,6780
2014/1/23,6760
2014/1/24,6770
2014/2/7,6750
2014/2/10,6800
2014/2/11,6780
2014/2/12,6800
2014/2/13,6830
2014/2/14,6870
2014/2/17,6870
2014/2/18,6900
2014/2/19,6980
2014/2/20,6930
2014/2/21,6950
2014/2/24,6930
2014/2/25,6930
2014/2/26,6900
2014/2/27,7000
2014/2/28,6950
2014/3/3,6980
2014/3/4,7000
2014/3/5,7060
2014/3/6,7100
2014/3/7,7200
2014/3/10,7150
2014/3/11,7180
2014/3/12,7180
2014/3/13,7200
2014/3/14,7170
2014/3/17,7120
2014/3/18,7120
2014/3/19,7120
2014/3/20,7050
2014/3/21,7050
2014/3/24,7050
2014/3/25,7050
2014/3/26,7050
2014/3/27,7100
2014/3/28,7050
2014/3/31,7050
2014/4/1,7030
2014/4/2,7170
2014/4/3,7100
2014/4/4,7100
2014/4/8,7100
2014/4/9,7130
2014/4/10,7130
2014/4/11,7020
2014/4/14,7030
2014/4/15,7000
2014/4/16,7020
2014/4/17,7030
2014/4/18,7000
2014/4/21,6950
2014/4/22,6950
2014/4/23,6950
2014/4/24,6950
2014/4/25,7000
2014/4/28,7020
2014/4/29,6980
2014/4/30,7000
2014/5/5,6880
2014/5/6,6830
2014/5/7,6830
2014/5/8,6820
2014/5/9,6840
2014/5/12,6850
2014/5/13,6850
2014/5/14,6880
2014/5/15,6880
2014/5/16,6850
2014/5/19,6850
2014/5/20,6820
2014/5/21,6800
2014/5/22,6850
2014/5/23,6850
2014/5/26,6830
2014/5/27,6840
2014/5/28,6820
2014/5/29,6850
2014/5/30,6850
2014/6/3,6750
2014/6/4,6700
2014/6/5,6750
2014/6/6,6700
